











who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,sturcbo?,rturcbo?,stakeholder?,sown-pref,sown-power,sown-eu,scbo-pref,scbo-power,scbo-eu,stemp-eu,regulator?,rown-pref,rown-power,rown-eu,rcbo-pref,rcbo-power,rcbo-eu,rtemp-eu,scboprefrange1,scboprefrange2,scboprefrange3,scboprefrange4,scboprefrange5,scboprefrange6,scboprefrange7,scboprefrange8,scboprefrange9,scboprefrange10,rcboprefrange1,rcboprefrange2,rcboprefrange3,rcboprefrange4,rcboprefrange5,rcboprefrange6,rcboprefrange7,rcboprefrange8,rcboprefrange9,rcboprefrange10,own-pref,own-power,out-links,in-links,ideo,idatt,ave-id,id2,pref,tpreference,power,prox,proximity,turcbo,salience,im,pent,message,minlen,ran,temp-eu,minpref,own-eu,cbo-pref,cbo-power,cbo-eu,prefrange1,prefrange2,prefrange3,prefrange4,prefrange5,prefrange6,prefrange7,prefrange8,prefrange9,prefrange10,cboprefrange1,cboprefrange2,cboprefrange3,cboprefrange4,cboprefrange5,cboprefrange6,cboprefrange7,cboprefrange8,cboprefrange9,cboprefrange10,projoim
5016,0,0,-118.4268721,34.166606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178.794475112252,0.50055680756,0,0,64.63824609348873,62.374421484139866,0,0,1178.794475112252,27055.862056765127,0.50055680756,22.952145287403642,0.043568912076763895,1,22.952145287403642,48.77158537290511,0,0,0,42,0,0,50.055680756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3931,0,0,-118.1573256,34.186012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.16562817755346,0.0716194431452,0,0,69.3096546871137,71.07868921840233,0,0,199.16562817755346,651.7746310649876,0.0716194431452,3.272525671367046,0.30557437906431023,1,3.272525671367046,0.20284705007895332,0,0,0,87,0,0,7.1619443145199995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2170,0,0,-118.444835,34.2632393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221.171760194845,0.0426549941556,0,0,62.81380289588784,65.23242260629905,0,0,1221.171760194845,29028.60943458844,0.0426549941556,23.77111097783391,0.04206786973198182,1,23.77111097783391,4.492374596799233,0,0,0,87,0,0,4.26549941556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,0,0,-118.0990998,34.6787164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.6669481558623,0.0529763692646,0,0,61.68450826175301,64.8160574355777,0,0,777.6669481558623,11591.264589306844,0.0529763692646,14.905178388761469,0.06709077703853594,1,14.905178388761469,2.2478272072564844,0,0,0,93,0,0,5.29763692646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3124,0,0,-118.1531022,34.1029885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.59127289720607,0.325325971986,0,0,64.30401485691827,59.673613371226445,0,0,356.59127289720607,2330.35582062478,0.325325971986,6.535089324231857,0.15302009664841748,1,6.535089324231857,2.736450980704761,0,0,0,18,0,0,32.5325971986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3131,0,0,-118.171878,34.108424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.2798578374949,0.326735205484,0,0,57.62985571917684,51.86687014725916,0,0,439.2798578374949,3631.495156586956,0.326735205484,8.266928455277306,0.12096391125311318,1,8.266928455277306,4.271534338325723,0,0,0,0,0,0,32.6735205484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4995,0,0,-118.1243483,34.1429574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.9769009933957,0.492855309942,0,0,64.031415395006,65.72827385550539,0,0,201.9769009933957,683.1374400881173,0.492855309942,3.3822552813128604,0.29566071062851257,1,3.3822552813128604,1.2444764931634087,0,0,0,81,0,0,49.2855309942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3696,0,0,-118.2583713,34.1387927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593.3845408085136,0.0716290493736,0,0,57.849344410710316,55.564409969639286,0,0,593.3845408085136,6712.393646459309,0.0716290493736,11.312046716473882,0.08840133223138895,1,11.312046716473882,1.7448885533021818,0,0,0,35,0,0,7.16290493736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4733,0,0,-118.204098,34.0232041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.2653025073901,0.00666394308146,0,0,63.53373013401858,63.680357120616726,0,0,452.2653025073901,3802.873917272678,0.00666394308146,8.408502478941635,0.11892724090935493,1,8.408502478941635,0.11723168719042623,0,0,0,65,0,0,0.666394308146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,0,0,-118.4078108,33.9186877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1531.961607709914,0.39039804801,0,0,62.4155511594376,56.973996043493834,0,0,1531.961607709914,46065.30760417839,0.39039804801,30.069492193763338,0.03325629822931989,1,30.069492193763338,64.74490221074522,0,0,0,8,0,0,39.039804801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
