











who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,sturcbo?,rturcbo?,stakeholder?,sown-pref,sown-power,sown-eu,scbo-pref,scbo-power,scbo-eu,stemp-eu,regulator?,rown-pref,rown-power,rown-eu,rcbo-pref,rcbo-power,rcbo-eu,rtemp-eu,scboprefrange1,scboprefrange2,scboprefrange3,scboprefrange4,scboprefrange5,scboprefrange6,scboprefrange7,scboprefrange8,scboprefrange9,scboprefrange10,rcboprefrange1,rcboprefrange2,rcboprefrange3,rcboprefrange4,rcboprefrange5,rcboprefrange6,rcboprefrange7,rcboprefrange8,rcboprefrange9,rcboprefrange10,own-pref,own-power,out-links,in-links,ideo,idatt,ave-id,id2,pref,tpreference,power,prox,proximity,turcbo,salience,im,pent,message,minlen,ran,temp-eu,minpref,own-eu,cbo-pref,cbo-power,cbo-eu,prefrange1,prefrange2,prefrange3,prefrange4,prefrange5,prefrange6,prefrange7,prefrange8,prefrange9,prefrange10,cboprefrange1,cboprefrange2,cboprefrange3,cboprefrange4,cboprefrange5,cboprefrange6,cboprefrange7,cboprefrange8,cboprefrange9,cboprefrange10,projoim
4415,0,0,-118.0624421,34.0484717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.248751735860454,0.0362535965098,0,0,60.633201600609524,0,0,0,5.248751735860454,0.0,0.0362535965098,10.0,0.10497503471720908,0,0.0,0.0,0,0,0,0,0,0,3.62535965098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3044,0,0,-117.738186,34.0803925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2316483250959878,0.021436565785,0,0,59.2901935526603,0,0,0,3.2316483250959878,0.0,0.021436565785,16.0,0.06463296650191976,0,0.0,0.0,0,0,0,0,0,0,2.1436565785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3667,0,0,-118.1396796,34.0784991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.197178143759249,0.0549359231224,0,0,53.84595538314385,0,0,0,7.197178143759249,0.0,0.0549359231224,7.0,0.14394356287518498,0,0.0,0.0,0,0,0,0,0,0,5.49359231224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3708,0,0,-118.4290719,34.1966753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.38970389671425,0.0484592848244,0,0,60.52109262640865,0,0,0,19.38970389671425,0.0,0.0484592848244,3.0,0.38779407793428494,0,0.0,0.0,0,0,0,0,0,0,4.84592848244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4404,0,0,-118.009061,33.9312897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8880939484053827,0.1009610059246,0,0,69.37885482603907,0,0,0,3.8880939484053827,0.0,0.1009610059246,13.0,0.07776187896810766,0,0.0,0.0,0,0,0,0,0,0,10.096100592460001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,-118.3286638,33.9037379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.547520601777766,0.0895654788394,0,0,73.78928269503103,0,0,0,18.547520601777766,0.0,0.0895654788394,3.0,0.37095041203555534,0,0.0,0.0,0,0,0,0,0,0,8.956547883939999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4204,0,0,-118.1953255,34.0306841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.852867602020003,0.00544031486738,0,0,57.12917420228098,0,0,0,10.852867602020003,0.0,0.00544031486738,5.0,0.21705735204040005,0,0.0,0.0,0,0,0,0,0,0,0.5440314867380001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4218,0,0,-118.1633706,33.8927166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.021344473696315,0.0228309446688,0,0,44.35352862499716,0,0,0,11.021344473696315,0.0,0.0228309446688,5.0,0.2204268894739263,0,0.0,0.0,0,0,0,0,0,0,2.28309446688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4686,0,0,-118.4197385,34.1969518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.923715001048798,0.196499017505,0,0,69.16386251329426,0,0,0,18.923715001048798,0.0,0.196499017505,3.0,0.378474300020976,0,0.0,0.0,0,0,0,0,0,0,19.6499017505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5033,0,0,-118.5534442,34.3824487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.965643999290243,0.37040668932,0,0,55.27230031948397,0,0,0,22.965643999290243,0.0,0.37040668932,3.0,0.45931287998580483,0,0.0,0.0,0,0,0,0,0,0,37.040668931999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
