











who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,sturcbo?,rturcbo?,stakeholder?,sown-pref,sown-power,sown-eu,scbo-pref,scbo-power,scbo-eu,stemp-eu,regulator?,rown-pref,rown-power,rown-eu,rcbo-pref,rcbo-power,rcbo-eu,rtemp-eu,scboprefrange1,scboprefrange2,scboprefrange3,scboprefrange4,scboprefrange5,scboprefrange6,scboprefrange7,scboprefrange8,scboprefrange9,scboprefrange10,rcboprefrange1,rcboprefrange2,rcboprefrange3,rcboprefrange4,rcboprefrange5,rcboprefrange6,rcboprefrange7,rcboprefrange8,rcboprefrange9,rcboprefrange10,own-pref,own-power,out-links,in-links,ideo,idatt,ave-id,id2,pref,tpreference,power,prox,proximity,turcbo,salience,im,pent,message,minlen,ran,temp-eu,minpref,own-eu,cbo-pref,cbo-power,cbo-eu,prefrange1,prefrange2,prefrange3,prefrange4,prefrange5,prefrange6,prefrange7,prefrange8,prefrange9,prefrange10,cboprefrange1,cboprefrange2,cboprefrange3,cboprefrange4,cboprefrange5,cboprefrange6,cboprefrange7,cboprefrange8,cboprefrange9,cboprefrange10,projoim
5439,0,0,-118.4380391,34.0508071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.412378523544437,0.84904001168,0,0,50.539272454952815,49.485345209457535,0,0,26.412378523544437,0.8820180950152406,0.84904001168,29.945393039910424,0.0333941183763134,1,0.0333941183763134,0.018695927153297362,0,0,0,40,0,0,84.904001168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2830,0,0,-118.2165586,33.9381043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.089920971094266,0.023065461315,0,0,66.72874446492486,67.25587001843238,0,0,37.089920971094266,2.5680957145819123,0.023065461315,14.442577338723734,0.06923971923756153,1,0.06923971923756153,0.02901324352448846,0,0,0,72,0,0,2.3065461315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5425,0,0,-118.0925659,34.0584423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.2069961269259,0.0128562987437,0,0,55.35089395038318,57.71580455534486,0,0,284.2069961269259,1451.439978532576,0.0128562987437,0.19581036786258477,5.106981876985069,1,5.106981876985069,0.09877652550123153,0,0,0,79,0,0,1.2856298743699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2790,0,0,-118.1820242,34.034359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.247888703402644,0.0,0,0,65.65597803706291,68.49038023335662,0,0,42.247888703402644,6.761942384376148,0.0,6.247892440050775,0.16005397173448674,1,0.16005397173448674,0.037599999999999995,0,0,0,94,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3927,0,0,-118.4980571,34.2449329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.45960952494735,0.29766964974,0,0,53.69717335131578,49.42745601618421,0,0,26.45960952494735,0.9239068642562522,0.29766964974,28.63882773102613,0.03491763033710493,1,0.03491763033710493,0.005390068517631946,0,0,0,11,0,0,29.766964973999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1298,0,0,-118.3285515,33.8910663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.57030401285755,0.0926964016454,0,0,68.80465639970235,69.22419075973212,0,0,36.57030401285755,1.4322457005820166,0.0926964016454,25.533540787028794,0.039164172659829716,1,0.039164172659829716,0.029677950481777772,0,0,0,73,0,0,9.26964016454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5254,0,0,-118.4126926,34.2544755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.12418853271443,0.0,0,0,83.37530916765472,83.43777825088925,0,0,44.12418853271443,2.1226376904799764,0.0,20.787432886267535,0.048105988145395955,1,0.048105988145395955,0.0336,0,0,0,84,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4982,0,0,-118.3948628,34.0508507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.623603272625786,0.355349946626,0,0,71.60061324659235,67.5405519219331,0,0,35.623603272625786,1.3204439376974164,0.355349946626,26.978504922174924,0.03706654623318478,1,0.03706654623318478,0.014089190858020248,0,0,0,31,0,0,35.5349946626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3952,0,0,-118.4125112,34.0372021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.24757698717607,1.057179784086,0,0,55.523038027046866,57.07073422434218,0,0,30.24757698717607,1.035804000248326,1.057179784086,29.202027584296303,0.03424419750009963,1,0.03424419750009963,0.03234211177761659,0,0,0,71,0,0,105.7179784086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2358,0,0,-118.3448356,34.1974344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29907251222751,0.0733661036652,0,0,40.384928854935424,45.846435969441885,0,0,26.29907251222751,1.7756368601925365,0.0733661036652,14.811064751931227,0.0675170905501314,1,0.0675170905501314,0.03846897760864389,0,0,0,95,0,0,7.3366103665199995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
